track_id,entry_time,exit_time,duration_sec,entry_x,entry_y,exit_x,exit_y
5,0.0,0.72,0.72,576.7,289.4,0,0
5,0.0,0.77,0.77,576.7,289.4,0,0
15,0.0,1.43,1.43,657.2,303.1,0,0
5,0.0,5.27,5.27,576.7,289.4,0,0
9,0.0,6.32,6.32,302.4,489.2,0,0
51,2.97,6.63,3.67,655.9,302.7,0,0
51,2.97,6.67,3.7,655.9,302.7,0,0
51,2.97,6.98,4.02,655.9,302.7,0,0
51,2.97,7.05,4.08,655.9,302.7,0,0
51,2.97,7.28,4.32,655.9,302.7,0,0
51,2.97,7.55,4.58,655.9,302.7,0,0
51,2.97,7.63,4.67,655.9,302.7,0,0
28,0.55,7.7,7.15,236.2,463.0,0,0
28,0.55,7.95,7.4,236.2,463.0,0,0
28,0.55,8.27,7.72,236.2,463.0,0,0
28,0.55,8.32,7.77,236.2,463.0,0,0
9,0.0,9.35,9.35,302.4,489.2,0,0
28,0.55,9.35,8.8,236.2,463.0,0,0
28,0.55,9.38,8.83,236.2,463.0,0,0
28,0.55,9.52,8.97,236.2,463.0,0,0
3,0.0,9.6,9.6,607.1,301.7,0,0
118,8.48,9.75,1.27,628.5,320.9,0,0
3,0.0,9.93,9.93,607.1,301.7,0,0
28,0.55,11.57,11.02,236.2,463.0,0,0
126,11.42,12.1,0.68,9.3,286.1,0,0
126,11.42,12.27,0.85,9.3,286.1,0,0
138,12.82,13.43,0.62,71.8,269.1,0,0
28,0.55,13.63,13.08,236.2,463.0,0,0
9,0.0,13.68,13.68,302.4,489.2,0,0
28,0.55,13.68,13.13,236.2,463.0,0,0
